trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20110104,600995.SH,10.2043,10.5998,10.1692,10.4592,10.2483,0.21089999999999876,2.0579,94395.92,111795.874,2.801,1.29,,,,,,,,,,,,,,
20110105,600995.SH,10.3801,10.6701,10.2834,10.3625,10.4592,-0.09669999999999845,-0.9245,62084.91,73932.817,1.8423,0.9,,,,,,,,,,,,,,
20110106,600995.SH,10.3801,10.5822,10.2043,10.5822,10.3625,0.21969999999999956,2.1201,74274.34,88474.959,2.204,1.11,,,,,,,,,,,,,,
20110107,600995.SH,10.5735,10.758,10.424,10.6086,10.5822,0.02639999999999887,0.2495,65372.26,78755.73,1.9398,0.93,,,,,,,,,,,,,,
20110110,600995.SH,10.6262,10.8283,10.1955,10.2746,10.6086,-0.33399999999999963,-3.1484,78484.79,93582.916,2.3289,1.08,10.4574,74922.444,,,,,,,,,,,,
20110111,600995.SH,10.1692,10.3361,10.1516,10.2395,10.2746,-0.03509999999999991,-0.3416,32476.43,37797.979,0.9637,0.43,10.4135,62538.546,,,,,,,,,,,,
20110112,600995.SH,10.2395,10.5295,10.2043,10.5031,10.2395,0.2636000000000003,2.5743,50696.21,59690.478,1.5043,0.81,10.4416,60260.806,,,,,,,,,,,,
20110113,600995.SH,10.5031,10.5998,10.3274,10.4416,10.5031,-0.061500000000000554,-0.5855,27126.7,32243.807,0.8049,0.45,10.4135,50831.278,,,,,,,,,,,,
20110114,600995.SH,10.3449,10.4153,10.0197,10.1428,10.4416,-0.29879999999999995,-2.8616,33923.21,39272.337,1.0066,0.67,10.3203,44541.468,,,,,,,,,,,,
20110117,600995.SH,10.0461,10.1076,9.4045,9.4484,10.1428,-0.6943999999999999,-6.8462,58237.86,63832.137,1.7281,1.31,10.1551,40492.082,10.3062,57707.263,,,,,,,,,,
20110118,600995.SH,9.3166,9.5803,9.132,9.2639,9.4484,-0.1844999999999999,-1.9527,27546.02,29189.262,0.8174,0.68,9.96,39506.0,10.1867,51022.273,,,,,,,,,,
20110119,600995.SH,9.2639,9.6682,9.1496,9.6594,9.2639,0.3955000000000002,4.2693,39025.41,41970.626,1.158,0.99,9.7912,37171.84,10.1164,48716.323,,,,,,,,,,
20110120,600995.SH,9.6682,9.6682,9.0441,9.0705,9.6594,-0.5889000000000006,-6.0967,36724.25,38751.417,1.0897,0.99,9.517,39091.35,9.9652,44961.314,10.0813,52336.0238,,,,,,,,
20110121,600995.SH,9.1057,9.1935,8.8596,9.1584,9.0705,0.0879000000000012,0.9691,86481.96,88495.643,2.5662,2.21,9.3201,49603.1,9.8202,47072.284,9.9812,51727.2577,,,,,,,,
20110124,600995.SH,9.1584,9.2111,8.8596,8.8859,9.1584,-0.27250000000000085,-2.9754,31376.73,32240.863,0.9311,0.63,9.2076,44230.874,9.6813,42361.478,9.8676,49365.09,,,,,,,,
20110125,600995.SH,9.009,9.0529,8.7717,8.8859,8.8859,0.0,0.0,31262.05,31609.781,0.9276,0.71,9.132,44974.08,9.546,42240.04,9.7371,46056.4523,,,,,,,,
20110126,600995.SH,8.9562,9.2287,8.8771,9.176,8.8859,0.2901000000000007,3.2647,21480.04,22227.69,0.6374,0.48,9.0353,41465.006,9.4133,39318.423,9.6269,42680.1277,,,,,,,,
20110127,600995.SH,9.0881,9.4484,9.0529,9.3166,9.176,0.14059999999999917,1.5323,24788.68,26303.354,0.7356,0.6,9.0846,39077.892,9.3008,39084.621,9.5532,38549.6577,,,,,,,,
20110128,600995.SH,9.3957,9.466,9.2814,9.3166,9.3166,0.0,0.0,22547.32,23978.654,0.6691,0.58,9.1162,26290.964,9.2182,37947.032,9.4822,37785.88,,,,,,,,
20110131,600995.SH,9.3342,10.2483,9.3342,10.2131,9.3166,0.8965000000000014,9.6226,125465.25,144411.784,3.723,4.77,9.3816,45108.668,9.2946,44669.771,9.4599,43537.3446,,,,,,,,
20110201,600995.SH,10.0109,10.3625,9.9846,10.0285,10.2131,-0.18460000000000143,-1.8075,80613.42,92701.568,2.3921,1.79,9.6102,54978.942,9.3711,49976.511,9.4282,47651.7077,9.8113,52589.7029,,,,,,
20110209,600995.SH,9.7648,10.0549,9.6945,9.7297,10.0285,-0.29879999999999995,-2.9795,42105.78,47195.361,1.2494,0.77,9.7209,59104.09,9.3781,50284.548,9.3964,48281.1362,9.7766,50099.6962,,,,,,
20110210,600995.SH,9.7385,10.0637,9.7385,9.9143,9.7297,0.18460000000000143,1.8973,49411.12,55780.012,1.4662,0.84,9.8404,64028.578,9.4625,51553.235,9.4322,47602.1562,9.7552,49496.1824,,,,,,
20110211,600995.SH,9.9318,10.3274,9.9318,10.0373,9.9143,0.12299999999999933,1.2406,49424.16,56804.34,1.4666,0.77,9.9846,69403.946,9.5504,47847.455,9.4917,49285.09,9.7293,48312.8405,,,,,,
20110214,600995.SH,10.0725,10.2658,9.9846,10.1604,10.0373,0.1230999999999991,1.2264,67573.81,78085.149,2.0051,0.97,9.974,57825.658,9.6778,51467.163,9.5302,51481.1208,9.7079,48417.6762,,,,,,
20110215,600995.SH,10.2043,10.9866,10.1252,10.7932,10.1604,0.6328000000000014,6.2281,174336.97,212579.332,5.1732,3.01,10.127,76570.368,9.8686,65774.655,9.6628,62066.7146,9.7326,52982.0657,,,,,,
20110216,600995.SH,10.7405,10.8196,10.6262,10.7844,10.7932,-0.008800000000000807,-0.0815,89426.13,109078.504,2.6536,1.17,10.3379,86034.438,10.0294,72569.264,9.7878,62293.1892,9.7586,55693.9562,,,,,,
20110217,600995.SH,10.7229,10.9338,10.5295,10.8723,10.7844,0.08789999999999942,0.8151,91321.32,111962.28,2.7098,1.06,10.5295,94416.478,10.185,79222.528,9.9406,66904.3115,9.7762,57628.4852,,,,,,
20110218,600995.SH,10.8547,10.9953,10.5383,10.5998,10.8723,-0.2724999999999991,-2.5064,81196.16,99437.507,2.4094,0.86,10.642,100770.878,10.3133,85087.412,10.0725,70745.3969,9.7837,60203.2214,,,,,,
20110221,600995.SH,10.5471,11.1623,10.4065,11.136,10.5998,0.5361999999999991,5.0586,145197.21,179406.354,4.3085,1.44,10.8371,116295.558,10.4056,87060.608,10.2232,80262.1023,9.831,65501.9833,10.0022,63145.8807,,,,
20110222,600995.SH,11.0305,11.0305,10.0197,10.2746,11.136,-0.8613999999999997,-7.7353,357702.3,424184.085,10.6142,3.08,10.7334,152968.624,10.4302,114769.496,10.2969,105870.8423,9.8703,79762.1948,9.996,71922.76,,,,
20110223,600995.SH,10.257,11.303,10.2043,11.303,10.2746,1.0284000000000013,10.0091,245363.07,305295.608,7.2807,1.6,10.8371,184156.012,10.5875,135095.225,10.4497,123010.5154,9.9674,90134.4352,10.0274,78032.032,,,,
20110224,600995.SH,11.5579,11.8655,11.2151,11.6106,11.303,0.307599999999999,2.7214,311412.23,409137.539,9.2406,1.69,10.9848,228174.194,10.7572,161295.336,10.5572,137314.1292,10.0603,103105.2362,10.0616,85936.6283,,,,
20110225,600995.SH,11.4524,12.1731,11.426,11.8831,11.6106,0.27250000000000085,2.347,199488.01,268802.618,5.9195,0.87,11.2415,251832.564,10.9417,176301.721,10.6999,146458.3285,10.1943,110855.8914,10.1041,90407.1533,,,,
20110228,600995.SH,11.9973,12.1204,11.6018,11.9446,11.8831,0.06149999999999878,0.5175,122602.04,165376.89,3.638,0.49,11.4032,247313.53,11.1202,181804.544,10.8703,152650.3485,10.3269,112575.8952,10.1598,91877.7283,,,,
20110301,600995.SH,11.9446,12.3401,11.8215,12.1907,11.9446,0.2461000000000002,2.0603,123699.08,170415.181,3.6706,0.5,11.7864,200512.886,11.2599,176740.755,11.0454,158364.8069,10.4843,116972.1976,10.2248,94918.4833,,,,
20110302,600995.SH,12.3049,12.7005,12.0588,12.4456,12.1907,0.254900000000001,2.0909,157470.91,222539.55,4.6727,0.79,12.0149,182934.454,11.426,183545.233,11.2306,166676.0954,10.6538,122982.1433,10.2896,98477.64,,,,
20110303,600995.SH,12.4631,12.7005,11.8743,12.094,12.4456,-0.35160000000000124,-2.8251,153199.57,215537.042,4.5459,0.84,12.1116,151291.922,11.5482,189733.058,11.3794,173262.6923,10.7928,129254.5019,10.3447,102680.069,,,,
20110304,600995.SH,12.0588,12.3225,11.804,12.2698,12.094,0.17580000000000062,1.4536,102618.68,141422.945,3.045,0.68,12.1889,131918.056,11.7152,191875.31,11.493,167745.9008,10.9334,132960.6924,10.4156,104969.918,,,,
20110307,600995.SH,12.2258,12.6301,12.0588,12.1379,12.2698,-0.1318999999999999,-1.075,109962.17,153249.71,3.2629,0.83,12.2276,129390.082,11.8154,188351.806,11.5971,169325.5962,11.0678,137123.3043,10.5052,106694.0617,,,,
20110308,600995.SH,12.1467,12.3225,12.0149,12.261,12.1379,0.1230999999999991,1.0142,99275.63,137428.558,2.9458,0.77,12.2417,124505.392,12.014,162509.139,11.7039,169937.4662,11.1653,135876.1795,10.6051,109085.0487,,,,
20110309,600995.SH,12.2962,12.5247,11.7248,11.7864,12.261,-0.4745999999999988,-3.8708,200203.35,272497.903,5.9407,1.61,12.1098,133051.88,12.0624,157993.167,11.7952,179091.8654,11.249,141570.9381,10.676,114457.6467,,,,
