trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20190726,002957.SZ,17.994,21.5889,17.994,21.5889,14.995,6.5939,43.974,546.87,1181.378,0.1334,,,,,,,,,,,,,,,
20190729,002957.SZ,23.7438,23.7438,23.7438,23.7438,21.5889,2.1549000000000014,9.9815,284.52,680.287,0.0694,,,,,,,,,,,,,,,
20190730,002957.SZ,26.1172,26.1172,26.1172,26.1172,23.7438,2.3734,9.9959,138.0,362.94,0.0337,,,,,,,,,,,,,,,
20190731,002957.SZ,28.7289,28.7289,28.7289,28.7289,26.1172,2.611699999999999,9.9999,335.48,970.543,0.0818,,,,,,,,,,,,,,,
20190801,002957.SZ,31.5988,31.5988,31.5988,31.5988,28.7289,2.8699000000000012,9.9896,979.34,3116.259,0.2389,,26.3555,456.842,,,,,,,,,,,,
20190802,002957.SZ,34.7567,34.7567,34.7567,34.7567,31.5988,3.1579000000000015,9.9937,3126.51,10942.785,0.7626,6.84,28.9891,972.77,,,,,,,,,,,,
20190805,002957.SZ,38.2324,38.2324,38.2324,38.2324,34.7567,3.4756999999999962,10.0001,1491.89,5743.776,0.3639,1.53,31.8868,1214.244,,,,,,,,,,,,
20190806,002957.SZ,42.0556,42.0556,42.0556,42.0556,38.2324,3.8232,9.9999,51307.49,217287.22,12.514,42.25,35.0745,11448.142,,,,,,,,,,,,
20190807,002957.SZ,42.7011,44.9355,37.855,37.855,42.0556,-4.200600000000001,-9.9882,255146.67,1053046.252,62.2309,22.29,36.8997,62410.38,,,,,,,,,,,,
20190808,002957.SZ,35.2532,36.6435,34.2403,34.8163,37.855,-3.0386999999999986,-8.0272,179630.71,636044.151,43.8124,2.88,37.5432,98140.654,31.9494,49298.748,,,,,,,,,,
20190809,002957.SZ,34.9057,35.1241,33.148,33.4657,34.8163,-1.3506,-3.8792,126231.87,434569.917,30.7883,1.29,37.285,122761.726,33.137,61867.248,,,,,,,,,,
20190812,002957.SZ,33.6246,35.6008,32.433,34.9553,33.4657,1.489600000000003,4.4511,132956.5,457278.759,32.4284,1.08,36.6296,149054.648,34.2582,75134.446,,,,,,,,,,
20190813,002957.SZ,33.7637,36.0377,33.4459,34.4687,34.9553,-0.4866000000000028,-1.3921,136419.31,476801.587,33.273,0.92,35.1122,166077.012,35.0933,88762.577,32.491,68353.4738,,,,,,,,
