trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120612,002684.SZ,3.0369,3.3228,3.0369,3.1904,3.3108,-0.12040000000000006,-3.6366,42721.38,91826.3177,32.1213,,,,,,,,,,,,,,,
20120613,002684.SZ,3.1949,3.5094,3.1934,3.5094,3.1904,0.31899999999999995,9.9987,61613.79,138606.0703,46.3262,,,,,,,,,,,,,,,
20120614,002684.SZ,3.5199,3.836,3.4763,3.6343,3.5094,0.12490000000000023,3.559,72316.92,173660.6707,54.3736,,,,,,,,,,,,,,,
20120615,002684.SZ,3.5877,3.9127,3.538,3.7758,3.6343,0.14149999999999974,3.8935,61865.84,152714.8056,46.5157,,,,,,,,,,,,,,,
20120618,002684.SZ,3.7968,3.9729,3.7366,3.842,3.7758,0.06620000000000026,1.7533,49046.01,125826.9603,36.8767,,3.5904,57512.788,,,,,,,,,,,,
20120619,002684.SZ,3.8074,3.9669,3.7848,3.9142,3.842,0.07220000000000004,1.8792,42703.63,109942.8425,32.108,0.74,3.7351,57509.238,,,,,,,,,,,,
20120620,002684.SZ,3.8871,4.3055,3.8871,4.3055,3.9142,0.3913000000000002,9.9969,45253.23,123361.1605,34.025,0.79,3.8944,54237.126,,,,,,,,,,,,
20120621,002684.SZ,4.453,4.7148,4.3958,4.6877,4.3055,0.3822000000000001,8.877,57229.25,172803.5679,43.0295,1.06,4.105,51219.592,,,,,,,,,,,,
20120625,002684.SZ,4.6877,5.1573,4.5944,5.1573,4.6877,0.4695999999999998,10.0177,53300.77,175244.1563,40.0758,1.04,4.3813,49506.578,,,,,,,,,,,,
20120626,002684.SZ,5.1437,5.6584,4.8563,5.3559,5.1573,0.1985999999999999,3.8509,66448.96,233918.1268,49.9616,1.34,4.6841,52987.168,4.1373,55249.978,,,,,,,,,,
20120627,002684.SZ,5.2084,5.5681,5.064,5.3559,5.3559,0.0,0.0,51334.43,180050.9513,38.5973,0.97,4.9725,54713.328,4.3538,56111.283,,,,,,,,,,
20120628,002684.SZ,5.2701,5.3424,4.9932,4.9962,5.3559,-0.35970000000000013,-6.716,42563.15,145643.9162,32.0024,0.78,5.1106,54175.312,4.5025,54206.219,,,,,,,,,,
20120629,002684.SZ,4.921,5.3559,4.8668,5.1512,4.9962,0.15500000000000025,3.1024,47301.44,160820.0781,35.565,0.87,5.2033,52189.75,4.6542,51704.671,4.3751,53361.4462,,,,,,,,
20120702,002684.SZ,5.0685,5.6659,5.0579,5.6659,5.1512,0.5146999999999995,9.9918,56857.36,206584.8539,42.7499,1.09,5.305,52901.068,4.8432,51203.823,4.5655,54448.8292,,,,,,,,
20120703,002684.SZ,5.702,6.2333,5.696,6.2333,5.6659,0.5674000000000001,10.0143,53118.6,211759.8778,39.9388,1.0,5.4805,50234.996,5.0823,51611.082,4.775,53795.3531,,,,,,,,
20120709,002684.SZ,5.8691,6.3883,5.6102,6.1249,6.2333,-0.10839999999999961,-1.739,55701.69,218772.7976,41.881,1.11,5.6343,51108.448,5.3034,52910.888,4.9666,52517.2585,,,,,,,,
20120710,002684.SZ,5.8014,5.9248,5.5124,5.5124,6.1249,-0.6124999999999998,-10.0002,40167.32,152123.6911,30.201,0.79,5.7375,50629.282,5.4241,52402.297,5.1002,50848.1415,,,,,,,,
20120711,002684.SZ,5.3288,5.4628,5.1211,5.3424,5.5124,-0.17000000000000082,-3.084,42666.65,149046.5102,32.0802,0.84,5.7758,49702.324,5.4895,50946.037,5.2156,50357.4215,,,,,,,,
20120712,002684.SZ,5.3123,5.8766,5.2671,5.8766,5.3424,0.5342000000000002,9.9993,54926.79,203474.791,41.2983,1.11,5.8179,49316.21,5.5615,51108.639,5.3666,51297.6646,,,,,,,,
20120713,002684.SZ,5.7457,6.3657,5.5922,5.8089,5.8766,-0.06769999999999943,-1.152,54837.5,216823.6049,41.2312,1.11,5.733,49659.99,5.6068,49947.493,5.4822,52034.9162,,,,,,,,
20120716,002684.SZ,5.5922,5.5982,5.228,5.228,5.8089,-0.5809000000000006,-10.0002,38042.36,136557.337,28.6033,0.77,5.5537,46128.124,5.594,48618.286,5.5238,50559.0015,4.889,51905.5748,,,,,,
20120717,002684.SZ,5.0113,5.553,5.0113,5.5229,5.228,0.29490000000000016,5.6408,33517.04,120785.224,25.2008,0.73,5.5558,44798.068,5.6467,47713.675,5.5519,49037.1762,5.0,51467.2729,,,,,,
20120718,002684.SZ,5.4929,5.4929,5.2039,5.4176,5.5229,-0.10529999999999973,-1.9066,27957.38,99199.2806,21.0206,0.62,5.5708,41856.214,5.6733,45779.269,5.5566,46076.2854,5.0909,49864.5867,,,,,,
20120719,002684.SZ,5.3574,5.6704,5.3574,5.4492,5.4176,0.03160000000000007,0.5833,31542.06,116016.2492,23.7158,0.75,5.4853,37179.268,5.6516,43247.739,5.5638,44553.7954,5.1773,47922.9267,,,,,,
20120720,002684.SZ,5.3725,5.3725,5.1843,5.2491,5.4492,-0.20009999999999994,-3.6721,27736.51,96788.4089,20.8545,0.75,5.3734,31759.07,5.5532,40709.53,5.5833,43413.2846,5.2475,46297.7205,,,,,,
20120723,002684.SZ,5.1166,5.38,5.0429,5.1768,5.2491,-0.07230000000000025,-1.3774,24961.94,87096.7262,18.7684,0.79,5.3631,29142.986,5.4584,37635.555,5.5852,41694.8615,5.311,45150.86,,,,,,
20120724,002684.SZ,5.1452,5.3574,4.9842,5.3378,5.1768,0.1609999999999996,3.11,29337.75,100679.3641,22.0585,1.01,5.3261,28307.128,5.4409,36552.598,5.56,39577.9685,5.3788,44514.3895,,,,,,
20120725,002684.SZ,5.2671,5.8721,5.2385,5.8721,5.3378,0.5343,10.0097,52312.06,195069.0799,39.3324,1.85,5.417,33178.064,5.4939,37517.139,5.5322,39515.9269,5.4534,44850.5243,,,,,,
20120726,002684.SZ,5.8059,6.459,5.7261,6.459,5.8721,0.5869,9.9947,64436.84,266414.548,48.4488,1.94,5.619,39757.02,5.5521,38468.144,5.5579,40187.8615,5.5378,45193.7429,,,,,,
20120802,002684.SZ,6.0948,6.4259,5.9985,6.2543,6.459,-0.20469999999999988,-3.1692,40965.33,168896.925,30.801,1.03,5.82,42402.784,5.5967,37080.927,5.615,40249.2469,5.59,44606.341,5.1136,47426.1327,,,,
