trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20170414,603050.SH,9.8642,11.8371,9.8642,11.8371,8.2188,3.6182999999999996,44.0247,76.74,111.012,0.023,,,,,,,,,,,,,,,
20170417,603050.SH,13.0192,13.0192,13.0192,13.0192,11.8371,1.1821000000000002,9.9864,71.37,116.333,0.0214,,,,,,,,,,,,,,,
20170418,603050.SH,14.3211,14.3211,14.3211,14.3211,13.0192,1.3018999999999998,9.9998,30.0,53.79,0.009,,,,,,,,,,,,,,,
20170419,603050.SH,15.7508,15.7508,15.7508,15.7508,14.3211,1.4297000000000004,9.9832,57.29,112.976,0.0172,,,,,,,,,,,,,,,
20170420,603050.SH,17.3243,17.3243,17.3243,17.3243,15.7508,1.573500000000001,9.99,222.29,482.147,0.0667,,14.4505,91.538,,,,,,,,,,,,
20170421,603050.SH,19.0575,19.0575,19.0575,19.0575,17.3243,1.7332,10.0044,296.7,707.926,0.089,3.24,15.8946,135.53,,,,,,,,,,,,
20170424,603050.SH,20.9665,20.9665,20.9665,20.9665,19.0575,1.908999999999999,10.0171,911.99,2393.974,0.2735,6.73,17.484,303.654,,,,,,,,,,,,
20170425,603050.SH,23.0671,23.0671,23.0671,23.0671,20.9665,2.1006,10.0188,1991.06,5750.181,0.5972,6.56,19.2332,695.866,,,,,,,,,,,,
20170426,603050.SH,25.3754,25.3754,25.3754,25.3754,23.0671,2.308299999999999,10.0069,2340.53,7435.864,0.702,3.36,21.1582,1152.514,,,,,,,,,,,,
20170427,603050.SH,27.9153,27.9153,27.9153,27.9153,25.3754,2.5398999999999994,10.0093,1249.75,4367.876,0.3749,1.08,23.2764,1358.006,18.8634,724.772,,,,,,,,,,
20170428,603050.SH,30.7109,30.7109,30.7109,30.7109,27.9153,2.7956000000000003,10.0146,1344.16,5168.295,0.4032,0.99,25.607,1567.498,20.7508,851.514,,,,,,,,,,
20170502,603050.SH,33.7859,33.7859,33.7859,33.7859,30.7109,3.0749999999999993,10.0127,2622.46,11093.006,0.7866,1.67,28.1709,1909.592,22.8275,1106.623,,,,,,,,,,
20170503,603050.SH,37.1645,37.1645,37.1645,37.1645,33.7859,3.3785999999999987,10.0,2825.51,13147.098,0.8475,1.48,30.9904,2076.482,25.1118,1386.174,22.3304,1079.9885,,,,,,,,
20170504,603050.SH,40.8786,40.8786,40.8786,40.8786,37.1645,3.714100000000002,9.9937,14725.14,75363.267,4.4167,7.09,34.091,4553.404,27.6246,2852.959,24.5644,2206.7885,,,,,,,,
20170505,603050.SH,44.6486,44.7364,41.5415,41.6374,40.8786,0.7588000000000008,1.8562,230837.46,1258658.511,69.2374,50.7,36.8355,50470.946,30.0559,25914.476,26.7658,19958.0262,,,,,,,,
20170508,603050.SH,45.7987,45.7987,39.1374,39.2971,41.6374,-2.340299999999999,-5.6207,202537.98,1117579.239,60.7492,4.01,38.5527,90709.71,32.0799,46138.604,28.687,35535.5631,,,,,,,,
20170509,603050.SH,37.3802,41.4776,36.8211,41.2939,39.2971,1.9968000000000004,5.0813,168312.82,825534.37,50.4837,1.86,40.0543,123847.782,34.1126,62878.687,30.6519,48478.2962,,,,,,,,
20170510,603050.SH,40.5751,41.1262,37.1645,37.1645,41.2939,-4.129400000000004,-10.0,123777.39,606756.27,37.1258,1.0,40.0543,148038.158,35.5224,75057.32,32.178,57982.5346,,,,,,,,
20170511,603050.SH,34.345,37.2204,33.4824,35.9585,37.1645,-1.205999999999996,-3.245,130648.0,574640.323,39.1866,0.88,39.0703,171222.73,36.5807,87888.067,33.4781,68009.5577,,,,,,,,
20170512,603050.SH,37.9393,39.5527,37.9393,39.5527,35.9585,3.5942000000000007,9.9954,91340.99,446451.661,27.3968,0.53,38.6533,143323.436,37.7444,96897.191,34.9078,74965.6346,,,,,,,,
20170515,603050.SH,41.1422,43.5064,41.1422,41.5256,39.5527,1.9728999999999957,4.988,218435.18,1163373.736,65.5175,1.52,39.099,146502.876,38.8259,118606.293,36.3277,91615.1823,28.9335,56888.3243,,,,,,
20170516,603050.SH,41.5335,45.5272,40.9026,44.2652,41.5256,2.739600000000003,6.5974,185508.13,998055.007,55.6413,1.27,39.6933,149941.938,39.8738,136894.86,37.7808,105704.9977,30.4777,65718.3905,,,,,,
20170517,603050.SH,48.6901,48.6901,43.115,43.2508,44.2652,-1.014400000000002,-2.2916,214341.47,1255510.791,64.2896,1.43,40.9106,168054.754,40.4824,158046.456,38.9604,122096.6685,31.9173,75921.7286,,,,,,
20170518,603050.SH,42.3323,43.6022,40.8546,41.7572,43.2508,-1.4936000000000007,-3.4533,145323.33,766128.854,43.5883,0.86,42.0703,170989.82,40.5703,171106.275,39.8101,133171.9892,33.2238,82840.4586,,,,,,
20170519,603050.SH,41.6134,42.3243,37.9473,39.9281,41.7572,-1.8290999999999968,-4.3803,110978.89,557841.956,33.287,0.65,42.1454,174917.4,40.3994,159120.418,40.2826,141507.0992,34.3751,88122.4395,,,,,,
20170522,603050.SH,38.738,41.5176,38.6022,39.2173,39.9281,-0.710799999999999,-1.7802,91320.37,458573.455,27.3906,0.52,41.6837,149494.438,40.3914,147998.657,40.4405,148314.3962,35.4176,92460.4433,,,,,,
20170523,603050.SH,38.0431,38.722,35.2955,35.2955,39.2173,-3.9218000000000046,-10.0002,99212.66,454973.271,29.7578,0.66,39.8898,132235.344,39.7915,141088.641,40.0111,154813.4362,36.1909,97170.7271,,,,,,
20170524,603050.SH,35.3035,38.2428,34.8802,37.3163,35.2955,2.0208000000000013,5.7254,84767.89,389424.866,25.4253,0.64,38.7029,106320.628,39.8067,137187.691,39.6787,143577.3154,36.9694,101163.8652,,,,,,
20170525,603050.SH,36.7812,38.4984,33.9696,37.8115,37.3163,0.4952000000000041,1.327,110473.2,504450.398,33.1353,1.04,37.9137,99350.602,39.992,135170.211,39.5644,136495.4092,37.6715,106329.6814,,,,,,
20170526,603050.SH,38.6022,40.655,37.9473,38.0431,37.8115,0.23160000000000025,0.6125,115195.11,564368.989,34.5516,1.16,37.5367,100193.846,39.8411,137555.623,39.3143,132409.4315,38.2748,111703.709,32.1496,78392.5287,,,,
20170531,603050.SH,39.2971,40.5591,36.5016,36.6294,38.0431,-1.4137000000000057,-3.716,100810.44,489418.348,30.2371,1.01,37.0192,102091.86,39.3514,125793.149,39.2732,130642.7431,38.6897,116444.6943,32.976,81750.3187,,,,
20170601,603050.SH,34.5847,35.5831,33.4824,33.5543,36.6294,-3.075099999999999,-8.3952,86486.52,372310.5,25.9408,0.85,36.6709,99546.632,38.2804,115890.988,39.0882,127245.7062,38.8251,120499.0924,33.6605,84630.8237,,,,
20170602,603050.SH,33.5863,34.9042,33.4824,34.4089,33.5543,0.8546000000000049,2.5469,64581.13,278211.091,19.3705,0.65,36.0894,95509.28,37.3962,100914.954,38.6926,125187.2554,38.8548,123449.5052,34.3301,86782.528,,,,
20170605,603050.SH,34.5847,35.4553,33.6981,33.8658,34.4089,-0.5431000000000026,-1.5784,61803.51,268242.732,18.5373,0.65,35.3003,85775.342,36.607,92562.972,38.1033,113138.6654,38.6977,126257.9814,34.934,88840.7353,,,,
