trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20110104,600753.SH,6.6437,7.0009,6.508,6.9866,6.708,0.27859999999999996,4.1532,130205.11,122882.087,10.1723,0.92,,,,,,,,,,,,,,
20110105,600753.SH,6.808,6.9009,6.6651,6.7009,6.9866,-0.2857000000000003,-4.0893,81491.37,77346.746,6.3665,0.59,,,,,,,,,,,,,,
20110106,600753.SH,6.7151,6.8723,6.608,6.7294,6.7009,0.028500000000000192,0.4253,55447.65,52200.892,4.3318,0.49,,,,,,,,,,,,,,
20110107,600753.SH,6.6651,6.8294,6.5151,6.5294,6.7294,-0.20000000000000018,-2.972,56270.75,52578.932,4.3962,0.54,,,,,,,,,,,,,,
20110110,600753.SH,6.5151,6.5651,6.1865,6.2079,6.5294,-0.32149999999999945,-4.9239,57699.13,51395.271,4.5077,0.65,6.6308,76222.802,,,,,,,,,,,,
20110111,600753.SH,6.2079,6.3151,6.1579,6.3008,6.2079,0.09289999999999932,1.4965,39838.64,34808.344,3.1124,0.52,6.4937,58149.508,,,,,,,,,,,,
20110112,600753.SH,6.2794,6.3722,6.0936,6.3365,6.3008,0.03570000000000029,0.5666,34785.18,30515.973,2.7176,0.6,6.4208,48808.27,,,,,,,,,,,,
20110113,600753.SH,6.3365,6.3365,6.1794,6.2365,6.3365,-0.09999999999999964,-1.5782,24705.71,21577.319,1.9301,0.51,6.3222,42659.882,,,,,,,,,,,,
20110114,600753.SH,6.2294,6.2294,5.9722,6.1151,6.2365,-0.1214000000000004,-1.9466,31197.93,26624.971,2.4373,0.73,6.2394,37645.318,,,,,,,,,,,,
20110117,600753.SH,6.1079,6.358,6.0079,6.3294,6.1151,0.2142999999999997,3.5044,62679.01,54716.577,4.8968,1.66,6.2637,38641.294,6.4473,57432.048,,,,,,,,,,
20110118,600753.SH,6.2651,6.3151,6.0222,6.2294,6.3294,-0.09999999999999964,-1.5799,33010.13,28602.819,2.5789,0.85,6.2494,37275.592,6.3715,47712.55,,,,,,,,,,
20110119,600753.SH,6.1794,6.3865,6.0936,6.3651,6.2294,0.13569999999999993,2.1784,45244.92,39681.888,3.5348,1.21,6.2551,39367.54,6.338,44087.905,,,,,,,,,,
20110120,600753.SH,6.3222,6.6151,6.1436,6.1579,6.3651,-0.20720000000000027,-3.2553,71097.69,63877.037,5.5545,1.81,6.2394,48645.936,6.2808,45652.909,6.4019,55667.1708,,,,,,,,
20110121,600753.SH,6.0793,6.1294,5.7364,5.8365,6.1579,-0.3213999999999997,-5.2193,77586.22,64069.865,6.0614,1.59,6.1837,57923.594,6.2115,47784.456,6.3134,51619.5638,,,,,,,,
20110124,600753.SH,5.8365,5.8365,5.5436,5.5578,5.8365,-0.2786999999999997,-4.7751,39824.98,31644.89,3.1113,0.69,6.0293,53352.788,6.1465,45997.041,6.2255,48414.4569,,,,,,,,
20110125,600753.SH,5.465,5.6793,5.3578,5.4507,5.5578,-0.10709999999999997,-1.927,22670.51,17379.653,1.7711,0.42,5.8736,51284.864,6.0615,44280.228,6.1272,45893.1385,,,,,,,,
20110126,600753.SH,5.4507,5.5721,5.4293,5.5364,5.4507,0.08570000000000011,1.5723,30043.33,23124.133,2.3471,0.59,5.7079,48244.546,5.9815,43806.043,6.0508,43875.6446,,,,,,,,
20110127,600753.SH,5.5007,5.5364,5.3007,5.4864,5.5364,-0.05000000000000071,-0.9031,39188.56,29864.976,3.0616,0.81,5.5736,41862.72,5.9065,45254.328,5.9953,42451.7546,,,,,,,,
20110128,600753.SH,5.4721,5.5721,5.4578,5.515,5.4864,0.02859999999999996,0.5213,26956.68,20805.851,2.106,0.64,5.5093,31736.812,5.8465,44830.203,5.9348,41460.8346,,,,,,,,
20110131,600753.SH,5.5007,5.6579,5.4864,5.6079,5.515,0.0929000000000002,1.6845,27466.94,21397.318,2.1459,0.87,5.5193,29265.204,5.7743,41308.996,5.8788,40897.8931,,,,,,,,
20110201,600753.SH,5.5936,5.6507,5.565,5.6436,5.6079,0.03570000000000029,0.6366,20270.44,15947.494,1.5836,0.69,5.5579,28785.19,5.7157,40035.027,5.8332,40556.7185,6.0885,47984.8038,,,,,,
20110209,600753.SH,5.6221,5.7222,5.515,5.615,5.6436,-0.02859999999999996,-0.5068,21836.39,17109.249,1.706,0.76,5.5736,27143.802,5.6407,37694.174,5.7947,39836.6,6.0232,42824.3886,,,,,,
20110210,600753.SH,5.6007,5.7579,5.5364,5.7364,5.615,0.12139999999999951,2.1621,26450.11,21022.046,2.0664,0.97,5.6236,24596.112,5.5986,33229.416,5.7491,37049.7615,5.9773,40203.3762,,,,,,
20110211,600753.SH,5.715,5.8293,5.6936,5.815,5.7364,0.07860000000000067,1.3702,20911.3,16878.214,1.6337,0.85,5.6836,23387.036,5.5964,27561.924,5.7172,36119.0823,5.9337,38558.7881,,,,,,
20110214,600753.SH,5.8222,5.9008,5.7579,5.8436,5.815,0.02859999999999996,0.4918,34230.76,27912.832,2.6743,1.46,5.7307,24739.8,5.625,27002.502,5.6771,35271.8392,5.9011,37509.2648,,,,,,
20110215,600753.SH,5.8507,5.915,5.7936,5.8222,5.8436,-0.021400000000000752,-0.3662,32193.42,26347.091,2.5151,1.3,5.7664,27124.396,5.6622,27954.793,5.6513,32279.2031,5.8827,36294.7071,,,,,,
20110216,600753.SH,5.815,5.9579,5.7865,5.9008,5.8222,0.07860000000000067,1.35,47080.19,38898.477,3.6781,1.74,5.8236,32173.156,5.6986,29658.479,5.6562,29932.5854,5.8637,36639.5429,,,,,,
20110217,600753.SH,5.8722,5.9722,5.7865,5.8507,5.9008,-0.05010000000000048,-0.849,31193.37,25618.66,2.437,0.97,5.8465,33121.808,5.735,28858.96,5.6787,29268.6154,5.8405,36468.5043,,,,,,
20110218,600753.SH,5.8579,5.9365,5.8007,5.9079,5.8507,0.05719999999999992,0.9777,29980.77,24697.565,2.3422,0.91,5.865,34935.702,5.7743,29161.369,5.7139,29830.9431,5.8249,36719.6976,,,,,,
20110221,600753.SH,5.8579,5.9865,5.8293,5.965,5.9079,0.05710000000000015,0.9665,31452.11,26170.219,2.4572,0.9,5.8893,34379.972,5.81,29559.886,5.7469,29939.3108,5.8177,36731.8014,6.0105,42766.9767,,,,
20110222,600753.SH,5.9579,5.9793,5.6436,5.6864,5.965,-0.27859999999999996,-4.6706,40776.3,33098.008,3.1856,1.19,5.8622,36096.548,5.8143,31610.472,5.7623,30061.4446,5.7871,35688.8152,5.9672,39786.0163,,,,
20110223,600753.SH,5.6722,5.7793,5.6507,5.7436,5.6864,0.05719999999999992,1.0059,20338.88,16299.597,1.589,0.56,5.8307,30748.286,5.8272,31460.721,5.7799,29552.3831,5.764,35085.4224,5.9353,37747.6,,,,
20110224,600753.SH,5.7507,5.865,5.7364,5.8293,5.7436,0.08570000000000011,1.4921,29500.88,23985.544,2.3048,0.96,5.8264,30409.788,5.8365,31765.798,5.7969,29708.84,5.7385,34335.7062,5.9053,36882.7077,,,,
20110225,600753.SH,5.8365,5.965,5.8079,5.9436,5.8293,0.11430000000000007,1.9608,30949.27,25502.057,2.4179,1.02,5.8336,30603.488,5.8493,32769.595,5.82,30530.2885,5.7283,32423.8767,5.8857,36038.6583,,,,
