trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20110104,002197.SZ,6.3592,6.3855,6.2839,6.3818,6.3103,0.07150000000000034,1.1331,9764.44,16457.6433,1.1391,0.96,,,,,,,,,,,,,,
20110105,002197.SZ,6.3291,6.4683,6.3253,6.3592,6.3818,-0.02259999999999973,-0.3541,8880.07,15089.0701,1.036,0.87,,,,,,,,,,,,,,
20110106,002197.SZ,6.3592,6.4232,6.2839,6.3592,6.3592,0.0,0.0,7252.91,12229.3366,0.8461,0.78,,,,,,,,,,,,,,
20110107,002197.SZ,6.3554,6.4758,6.3404,6.3931,6.3592,0.03389999999999915,0.5331,11453.13,19520.9159,1.3361,1.28,,,,,,,,,,,,,,
20110110,002197.SZ,6.3893,6.4081,6.1033,6.1221,6.3931,-0.2709999999999999,-4.2389,17662.19,28935.1136,2.0605,1.9,6.3231,11002.548,,,,,,,,,,,,
20110111,002197.SZ,6.0619,6.1108,5.8587,5.9453,6.1221,-0.17680000000000007,-2.8879,12847.33,20274.1255,1.4988,1.17,6.2358,11619.126,,,,,,,,,,,,
20110112,002197.SZ,5.9453,6.013,5.9039,5.998,5.9453,0.052700000000000635,0.8864,5781.73,9145.3144,0.6745,0.5,6.1635,10999.458,,,,,,,,,,,,
20110113,002197.SZ,6.0281,6.1146,6.0281,6.0356,5.998,0.03759999999999941,0.6269,6498.41,10474.9812,0.7581,0.59,6.0988,10848.558,,,,,,,,,,,,
20110114,002197.SZ,5.9829,6.0205,5.8813,5.8926,6.0356,-0.1429999999999998,-2.3693,5194.66,8182.4522,0.606,0.48,5.9987,9596.864,,,,,,,,,,,,
20110117,002197.SZ,5.8926,5.9302,5.4937,5.5916,5.8926,-0.30100000000000016,-5.1081,8816.0,13318.0789,1.0285,0.92,5.8926,7827.626,6.1079,9415.087,,,,,,,,,,
20110118,002197.SZ,5.5314,5.6066,5.505,5.5953,5.5916,0.0037000000000002586,0.0662,4566.98,6743.7112,0.5328,0.58,5.8226,6171.556,6.0292,8895.341,,,,,,,,,,
20110119,002197.SZ,5.6066,5.7007,5.5728,5.7007,5.5953,0.10540000000000038,1.8837,5305.41,7978.9747,0.6189,0.86,5.7632,6076.292,5.9634,8537.875,,,,,,,,,,
20110120,002197.SZ,5.7082,5.7082,5.411,5.411,5.7007,-0.28970000000000073,-5.0818,5827.05,8601.7934,0.6798,0.96,5.6382,5942.02,5.8685,8395.289,5.9835,8450.0238,,,,,,,,
20110121,002197.SZ,5.4561,5.5013,5.3884,5.4561,5.411,0.045100000000000584,0.8335,4842.17,7015.1201,0.5649,0.81,5.5509,5871.522,5.7748,7734.193,5.9123,8071.3877,,,,,,,,
20110124,002197.SZ,5.4561,5.5126,5.4034,5.4937,5.4561,0.03759999999999941,0.6891,3767.33,5466.0078,0.4395,0.64,5.5314,4861.788,5.712,6344.707,5.8457,7678.1,,,,,,,,
20110125,002197.SZ,5.5126,5.5126,5.3432,5.3809,5.4937,-0.11280000000000001,-2.0533,3962.38,5653.4505,0.4623,0.82,5.4885,4740.868,5.6556,5456.212,5.7705,7424.9823,,,,,,,,
20110126,002197.SZ,5.4147,5.5126,5.3658,5.49,5.3809,0.10910000000000064,2.0275,4958.76,7204.9476,0.5785,1.05,5.4463,4671.538,5.6048,5373.915,5.701,6925.4154,,,,,,,,
20110127,002197.SZ,5.4486,5.6104,5.3921,5.5878,5.49,0.09779999999999944,1.7814,6291.46,9271.3564,0.734,1.35,5.4817,4764.42,5.56,5353.22,5.6599,6050.7438,,,,,,,,
20110128,002197.SZ,5.5652,5.7346,5.5276,5.727,5.5878,0.13920000000000066,2.4911,8970.62,13484.4304,1.0465,1.88,5.5359,5590.11,5.5434,5730.816,5.6431,5752.5354,,,,,,,,
20110131,002197.SZ,5.7647,5.7684,5.6254,5.7007,5.727,-0.02629999999999999,-0.4592,6502.48,9847.7379,0.7586,1.16,5.5773,6137.14,5.5543,5499.464,5.6202,5807.9777,,,,,,,,
20110201,002197.SZ,5.6518,5.7534,5.6518,5.7346,5.7007,0.03390000000000004,0.5947,3860.85,5866.4937,0.4504,0.63,5.648,6116.834,5.5683,5428.851,5.5971,5605.0885,5.8265,7286.0171,,,,,,
20110209,002197.SZ,5.7195,5.776,5.6668,5.7082,5.7346,-0.026400000000000645,-0.4604,6913.73,10506.3729,0.8066,1.13,5.6917,6507.828,5.569,5589.683,5.5829,5737.3246,5.7944,7150.269,,,,,,
20110210,002197.SZ,5.7045,5.8587,5.7045,5.8437,5.7082,0.1355000000000004,2.3738,8412.63,13022.5357,0.9814,1.29,5.7428,6932.062,5.6123,5848.241,5.6023,5706.2962,5.7699,7128.01,,,,,,
20110211,002197.SZ,5.8324,5.9039,5.8173,5.8738,5.8437,0.030100000000000016,0.5151,6196.6,9669.7661,0.7229,0.89,5.7722,6377.258,5.654,5983.684,5.6237,5831.6515,5.7468,7077.7095,,,,,,
20110214,002197.SZ,5.8776,6.0205,5.8738,5.9791,5.8738,0.10529999999999973,1.7927,11118.83,17592.9491,1.2971,1.74,5.8279,7300.528,5.7026,6718.834,5.6451,6278.8377,5.727,7061.7905,,,,,,
20110215,002197.SZ,6.0017,6.0544,5.9378,5.9641,5.9791,-0.01499999999999968,-0.2509,10348.63,16506.8675,1.2073,1.42,5.8738,8598.084,5.7609,7357.459,5.6877,6626.6515,5.7195,6713.5257,,,,,,
20110216,002197.SZ,5.9641,6.092,5.9566,6.092,5.9641,0.12789999999999946,2.1445,8421.7,13506.1791,0.9825,0.98,5.9505,8899.678,5.8211,7703.753,5.7366,6902.0,5.7265,6502.7814,,,,,,
20110217,002197.SZ,6.077,6.1936,6.0205,6.1033,6.092,0.01130000000000031,0.1855,10673.56,17304.5225,1.2452,1.2,6.0025,9351.864,5.8727,8141.963,5.7835,7433.2485,5.7315,6735.7257,,,,,,
20110218,002197.SZ,6.1936,6.1936,6.0205,6.0582,6.1033,-0.045099999999999696,-0.7389,10614.6,17155.4746,1.2383,1.14,6.0393,10235.464,5.9058,8306.361,5.8356,7944.9577,5.7326,6931.7348,,,,,,
20110221,002197.SZ,5.9904,6.1899,5.9453,6.1899,6.0582,0.13169999999999948,2.1739,9368.64,15205.6609,1.093,0.92,6.0815,9885.426,5.9547,8592.977,5.8894,8284.1792,5.7467,7130.4957,5.8723,7835.8427,,,,
20110222,002197.SZ,6.2538,6.2726,5.8813,5.9528,6.1899,-0.23709999999999987,-3.8304,16550.63,26622.315,1.9308,1.67,6.0792,11125.826,5.9765,9861.955,5.9175,9073.3462,5.7639,7498.8114,5.858,8062.049,,,,
