trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20200911,605358.SH,5.9,7.08,5.9,7.08,4.92,2.16,43.9024,1462.97,1034.257,0.3605,,,,,,,,,,,,,,,
20200914,605358.SH,7.79,7.79,7.79,7.79,7.08,0.71,10.0282,459.07,357.616,0.1131,,,,,,,,,,,,,,,
20200915,605358.SH,8.57,8.57,8.57,8.57,7.79,0.7800000000000002,10.0128,271.28,232.487,0.0669,,,,,,,,,,,,,,,
20200916,605358.SH,9.43,9.43,9.43,9.43,8.57,0.8599999999999994,10.035,407.15,383.942,0.1003,,,,,,,,,,,,,,,
20200917,605358.SH,10.37,10.37,10.37,10.37,9.43,0.9399999999999995,9.9682,1072.99,1112.691,0.2644,,8.648,734.692,,,,,,,,,,,,
20200918,605358.SH,11.41,11.41,11.41,11.41,10.37,1.040000000000001,10.0289,623.57,711.493,0.1537,0.85,9.514,566.812,,,,,,,,,,,,
20200921,605358.SH,12.55,12.55,12.55,12.55,11.41,1.1400000000000006,9.9912,658.35,826.229,0.1622,1.16,10.466,606.668,,,,,,,,,,,,
20200922,605358.SH,13.81,13.81,13.81,13.81,12.55,1.2599999999999998,10.0398,881.12,1216.827,0.2171,1.45,11.514,728.636,,,,,,,,,,,,
20200923,605358.SH,15.19,15.19,15.19,15.19,13.81,1.379999999999999,9.9928,1830.31,2780.241,0.451,2.51,12.666,1013.268,,,,,,,,,,,,
20200924,605358.SH,16.71,16.71,16.71,16.71,15.19,1.5200000000000014,10.0066,1722.38,2878.097,0.4244,1.7,13.934,1143.146,11.291,938.919,,,,,,,,,,
20200925,605358.SH,18.38,18.38,18.38,18.38,16.71,1.6699999999999982,9.994,1291.94,2374.586,0.3184,1.13,15.328,1276.82,12.421,921.816,,,,,,,,,,
20200928,605358.SH,20.22,20.22,20.22,20.22,18.38,1.8399999999999999,10.0109,2123.22,4293.151,0.5232,1.66,16.862,1569.794,13.664,1088.231,,,,,,,,,,
20200929,605358.SH,22.24,22.24,22.24,22.24,20.22,2.0199999999999996,9.9901,2577.5,5732.36,0.6352,1.64,18.548,1909.07,15.031,1318.853,13.3654,1183.2192,,,,,,,,
20200930,605358.SH,24.46,24.46,24.46,24.46,22.24,2.2200000000000024,9.982,4790.51,11717.587,1.1805,2.51,20.402,2501.11,16.534,1757.189,14.7023,1439.1838,,,,,,,,
20201009,605358.SH,26.91,26.91,26.91,26.91,24.46,2.4499999999999993,10.0164,11489.43,30918.056,2.8313,4.59,22.442,4454.52,18.188,2798.833,16.1731,2287.6731,,,,,,,,
20201012,605358.SH,29.6,29.6,29.6,29.6,26.91,2.6900000000000013,9.9963,3366.7,9965.432,0.8296,0.76,24.686,4869.472,20.007,3073.146,17.7908,2525.7823,,,,,,,,
20201013,605358.SH,32.56,32.56,32.56,32.56,29.6,2.960000000000001,10.0,1669.3,5435.241,0.4114,0.34,27.154,4778.688,22.008,3174.241,19.57,2622.8708,,,,,,,,
20201014,605358.SH,35.82,35.82,35.82,35.82,32.56,3.259999999999998,10.0123,1140.86,4086.561,0.2811,0.24,29.87,4491.36,24.209,3200.215,21.5277,2628.0915,,,,,,,,
20201015,605358.SH,39.4,39.4,39.4,39.4,35.82,3.5799999999999983,9.9944,1756.32,6919.901,0.4328,0.39,32.858,3884.522,26.63,3192.816,23.6808,2715.2262,,,,,,,,
20201016,605358.SH,43.34,43.34,43.34,43.34,39.4,3.940000000000005,10.0,6553.44,28402.609,1.6149,1.69,36.144,2897.324,29.293,3675.922,26.0492,3168.6946,,,,,,,,
20201019,605358.SH,47.67,47.67,47.67,47.67,43.34,4.329999999999998,9.9908,31185.0,148658.895,7.6848,10.76,39.758,8460.984,32.222,6665.228,28.6538,5499.7623,21.5957,3682.5433,,,,,,
20201020,605358.SH,52.44,52.44,52.44,52.44,47.67,4.769999999999996,10.0063,76915.02,403342.365,18.9539,9.09,43.734,23510.128,35.444,14144.408,31.5192,11275.5092,23.7557,7275.4981,,,,,,
20201021,605358.SH,55.0,57.68,54.68,57.68,52.44,5.240000000000002,9.9924,262863.01,1492570.806,64.7765,11.18,48.106,75854.558,38.988,40172.959,34.6708,31363.25,26.1314,19770.9238,,,,,,
20201022,605358.SH,53.87,54.99,51.91,54.98,57.68,-2.700000000000003,-4.681,146882.46,776299.653,36.1958,1.94,51.222,104879.786,42.04,54382.154,37.4862,42562.5208,28.3414,26752.4086,,,,,,
20201023,605358.SH,54.3,57.48,52.0,55.38,54.98,0.4000000000000057,0.7275,120204.51,660341.914,29.6216,1.15,53.63,127610.0,44.887,65253.662,40.1908,51645.6969,30.5295,32457.0448,,,,,,
20201026,605358.SH,54.0,60.5,53.0,59.0,55.38,3.6199999999999974,6.5367,107937.36,624315.855,26.5987,0.85,55.896,142960.472,47.827,75710.728,43.0185,59750.3015,32.8452,37545.8243,,,,,,
20201027,605358.SH,58.11,58.5,54.03,54.57,59.0,-4.43,-7.5085,88810.24,497974.427,21.8852,0.62,56.322,145339.516,50.028,84424.822,45.3346,66213.3577,34.9005,41745.1895,,,,,,
20201028,605358.SH,55.37,55.55,52.11,55.1,54.57,0.5300000000000011,0.9712,53795.43,291124.292,13.2566,0.37,55.806,103526.0,51.956,89690.279,47.5031,69467.6654,36.9267,44275.5267,,,,,,
20201029,605358.SH,53.1,58.5,53.09,55.65,55.1,0.5499999999999972,0.9982,67656.42,380941.93,16.6724,0.65,55.94,87680.792,53.581,96280.289,49.5069,74413.0285,38.919,47455.3029,,,,,,
20201030,605358.SH,55.89,57.28,53.0,53.0,55.65,-2.6499999999999986,-4.7619,58990.72,326641.044,14.5369,0.67,55.464,75438.034,54.547,101524.017,51.0792,78822.3685,40.7195,50177.2271,31.7103,35379.6193,,,,
20201102,605358.SH,52.75,55.4,47.7,47.7,53.0,-5.299999999999997,-10.0,94937.24,468265.646,23.3951,1.26,53.204,72838.01,54.55,107899.241,51.9931,86037.4746,42.1952,54616.03,33.0643,38495.4283,,,,
20201103,605358.SH,47.59,52.47,46.53,52.47,47.7,4.769999999999996,10.0,71566.06,362069.22,17.6358,0.98,52.784,69389.174,54.553,107364.345,52.9985,91407.4546,43.8186,57962.4167,34.5537,40865.6613,,,,
20201104,605358.SH,53.58,55.4,52.63,53.7,52.47,1.230000000000004,2.3442,79056.53,426134.573,19.4816,1.14,52.504,74441.394,54.155,88983.697,53.7954,96984.6154,45.4129,61625.9076,36.058,43491.8363,,,,
20201105,605358.SH,54.9,59.07,52.35,57.9,53.7,4.199999999999996,7.8212,109353.13,608405.398,26.9475,1.47,52.954,82780.736,54.447,85230.764,54.5823,102997.5485,47.111,66710.4614,37.6737,47123.369,,,,
20201106,605358.SH,57.73,63.63,57.0,63.0,57.9,5.100000000000001,8.8083,96829.71,586829.001,23.8614,1.17,54.954,90348.534,55.209,82893.284,55.3946,104529.4477,48.9462,71093.2805,39.428,50315.2597,,,,
20201109,605358.SH,64.5,69.3,64.3,69.3,63.0,6.299999999999997,10.0,36378.79,244930.696,8.9647,0.4,59.274,78636.844,56.239,75737.427,56.2885,87107.5846,50.9648,72278.4881,41.3577,51507.1003,,,,
20201110,605358.SH,73.0,75.5,65.2,70.8,69.3,1.5,2.1645,114054.53,812363.524,28.1061,1.45,62.94,87134.538,57.862,78261.856,57.5054,84582.3592,52.9267,77549.3371,43.2993,55286.973,,,,
20201111,605358.SH,68.68,70.6,65.65,66.34,70.8,-4.459999999999994,-6.2994,65817.52,444185.82,16.2192,0.76,65.468,84486.736,58.986,79464.065,58.3485,80398.7446,54.5352,80604.0143,45.0503,57451.5197,,,,
20201112,605358.SH,67.0,67.95,63.0,65.0,66.34,-1.3400000000000034,-2.0199,50149.36,326721.369,12.3581,0.59,66.888,72645.982,59.921,77713.359,58.81,75953.5138,55.9248,82937.7524,46.7107,59062.1547,,,,
20201113,605358.SH,64.28,71.5,63.3,71.1,65.0,6.099999999999994,9.3846,98623.32,684769.857,24.3034,1.36,68.508,73004.704,61.731,81676.619,60.0815,76708.3662,57.4343,87550.4667,48.5237,62292.186,,,,
