trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20160428,603822.SH,13.699,16.4369,13.699,16.4369,11.4175,5.019400000000001,43.9623,121.0,204.571,0.0659,,,,,,,,,,,,,,,
20160429,603822.SH,18.0777,18.0777,18.0777,18.0777,16.4369,1.6407999999999987,9.9824,22.0,40.964,0.012,,,,,,,,,,,,,,,
20160503,603822.SH,19.8835,19.8835,19.8835,19.8835,18.0777,1.8058000000000014,9.9891,21.0,43.008,0.0114,,,,,,,,,,,,,,,
20160504,603822.SH,21.8738,21.8738,21.8738,21.8738,19.8835,1.9902999999999977,10.0098,36.0,81.108,0.0196,,,,,,,,,,,,,,,
20160505,603822.SH,24.0583,24.0583,24.0583,24.0583,21.8738,2.1845,9.9868,54.0,133.812,0.0294,,20.066,50.8,,,,,,,,,,,,
20160506,603822.SH,26.466,26.466,26.466,26.466,24.0583,2.407700000000002,10.0078,74.0,201.724,0.0403,1.46,22.0719,41.4,,,,,,,,,,,,
20160509,603822.SH,29.1165,29.1165,29.1165,29.1165,26.466,2.6504999999999974,10.0147,455.29,1365.415,0.2481,11.0,24.2796,128.058,,,,,,,,,,,,
20160510,603822.SH,32.0291,32.0291,32.0291,32.0291,29.1165,2.912600000000001,10.0033,805.0,2655.695,0.4387,6.29,26.7087,284.858,,,,,,,,,,,,
20160511,603822.SH,35.233,35.233,35.233,35.233,32.0291,3.2038999999999973,10.0031,475.37,1725.118,0.2591,1.67,29.3806,372.732,,,,,,,,,,,,
20160512,603822.SH,38.7573,38.7573,38.7573,38.7573,35.233,3.5243000000000038,10.0028,9695.49,38704.396,5.2836,26.01,32.3204,2301.03,26.1932,1175.915,,,,,,,,,,
20160513,603822.SH,42.6214,42.6311,41.3107,42.6311,38.7573,3.873800000000003,9.995,49395.95,216298.248,26.9188,21.47,35.5534,12165.42,28.8126,6103.41,,,,,,,,,,
20160516,603822.SH,45.9223,46.1068,41.8544,43.4175,42.6311,0.7863999999999933,1.8447,115868.05,520599.739,63.1434,9.52,38.4136,35247.972,31.3466,17688.015,,,,,,,,,,
20160517,603822.SH,43.9612,47.7573,43.9612,47.7573,43.4175,4.339800000000004,9.9955,78435.27,374979.419,42.744,2.23,41.5592,50774.026,34.134,25529.442,30.4414,19650.6477,,,,,,,,
20160518,603822.SH,45.6311,45.6311,42.9806,43.3883,47.7573,-4.369,-9.1483,95080.94,429356.068,51.8152,1.87,43.1903,69695.14,36.2854,35033.936,32.5146,26955.2585,,,,,,,,
20160519,603822.SH,43.6019,44.0777,41.8544,42.7282,43.3883,-0.6600999999999999,-1.5214,61489.26,272622.759,33.5091,0.88,43.9845,80053.894,38.1524,41177.462,34.4108,31683.5092,,,,,,,,
20160520,603822.SH,41.6505,45.2427,41.2621,44.8058,42.7282,2.077599999999997,4.8624,71938.94,320816.498,39.2038,0.9,44.4194,84562.492,39.9864,48363.956,36.3279,37215.6585,,,,,,,,
20160523,603822.SH,44.3689,49.2913,44.2718,48.0388,44.8058,3.233000000000004,7.2156,93487.42,457547.632,50.9468,1.11,45.3437,80086.366,41.8786,57667.169,38.3406,44404.2292,,,,,,,,
20160524,603822.SH,47.0194,47.466,45.466,45.932,48.0388,-2.1068,-4.3856,61305.01,291189.693,33.4087,0.77,44.9786,76660.314,43.2689,63717.17,40.0231,49115.8454,,,,,,,,
20160525,603822.SH,46.3204,50.2913,46.0388,47.9903,45.932,2.0582999999999956,4.4812,83686.09,411068.16,45.6055,1.09,45.899,74381.344,44.5447,72038.242,41.6789,55547.5446,,,,,,,,
20160526,603822.SH,47.1942,50.3786,45.466,50.2621,47.9903,2.271799999999999,4.7339,76344.87,375129.395,41.6048,1.03,47.4058,77352.466,45.6951,78703.18,43.3054,61385.2046,,,,,,,,
20160527,603822.SH,49.4563,51.0583,48.1845,48.2427,50.2621,-2.0193999999999974,-4.0177,66962.88,341893.78,36.492,0.87,48.0932,76357.254,46.2563,80459.873,44.5526,66474.2723,36.5298,41226.3729,,,,,,
20160530,603822.SH,47.5631,50.0485,46.3301,48.2233,48.2427,-0.01939999999999742,-0.0402,43690.32,217259.563,23.8094,0.57,48.1301,66397.834,46.7369,73242.1,45.5519,69798.4992,38.0435,43301.1024,,,,,,
20160531,603822.SH,48.1553,52.0194,47.9806,50.8447,48.2233,2.6214000000000013,5.436,59623.06,308584.106,32.4921,0.9,49.1126,66061.444,47.0456,71360.879,46.4817,73639.0815,39.6038,46139.2481,,,,,,
20160601,603822.SH,50.1942,54.8544,50.1942,51.7476,50.8447,0.9028999999999954,1.7758,62712.19,337919.282,34.1756,0.95,49.8641,61866.664,47.8816,68124.004,47.183,74663.4077,41.1211,49124.5429,,,,,,
20160602,603822.SH,51.3398,55.9029,51.2718,54.3592,51.7476,2.611600000000003,5.0468,62091.63,340043.225,33.8374,1.0,50.6835,59016.016,49.0447,68184.241,48.0246,70526.76,42.6681,52079.5729,,,,,,
20160603,603822.SH,54.2524,55.8252,52.699,52.7573,54.3592,-1.6019000000000005,-2.9469,54067.4,300249.48,29.4645,0.92,51.5864,56436.92,49.8398,66397.087,48.4093,68652.3085,44.0347,54651.6395,,,,,,
20160606,603822.SH,52.5049,54.165,51.7961,53.0777,52.7573,0.32039999999999935,0.6073,35527.49,194176.945,19.361,0.63,52.5573,54804.354,50.3437,60601.094,49.1546,64071.2738,45.3019,56339.901,,,,,,
20160607,603822.SH,52.9126,56.7864,52.7282,56.0097,53.0777,2.932000000000002,5.524,53676.81,302088.974,29.2517,0.98,53.5903,53615.104,51.3515,59838.274,50.1762,63470.3162,46.5825,58874.259,,,,,,
20160608,603822.SH,55.3398,55.3398,53.2136,53.2816,56.0097,-2.728100000000005,-4.8708,42271.94,235637.307,23.0365,0.79,53.8971,49527.054,51.8806,55696.859,50.8282,61188.2392,47.5945,60848.8752,,,,,,
20160613,603822.SH,51.165,51.8835,47.9515,47.9515,53.2816,-5.3300999999999945,-10.0036,46941.1,241335.359,25.581,0.95,52.6156,46496.948,51.6495,52756.482,50.8215,57607.7531,48.2002,63061.529,41.1793,44211.859,,,,
20160614,603822.SH,47.3786,49.4175,47.0874,48.5243,47.9515,0.5727999999999938,1.1945,26192.12,130326.119,14.2736,0.56,51.769,40921.892,51.6777,48679.406,51.0209,54906.7615,48.6653,63847.0829,42.2489,45080.8963,,,,
20160615,603822.SH,47.8641,53.2816,47.5825,51.4272,48.5243,2.9029000000000025,5.9824,39922.52,209769.215,21.7561,0.98,51.4389,41800.898,51.9981,48302.626,51.2853,51540.3331,49.0841,63395.9671,43.3605,46410.9137,,,,
20160616,603822.SH,51.9417,54.2427,51.3592,52.3786,51.4272,0.9513999999999996,1.85,33751.55,183007.588,18.3932,0.81,50.7126,37815.846,52.1515,45715.475,51.4481,48263.9238,49.5109,59485.6576,44.4437,47535.2653,,,,
20160617,603822.SH,52.3592,57.6214,52.3592,57.6214,52.3786,5.242800000000003,10.0094,68823.69,392870.856,37.5061,1.82,51.5806,43126.196,52.7388,46326.625,52.1695,48407.0631,49.9806,59027.9633,45.6353,49828.1883,,,,
20160620,603822.SH,57.2816,61.7087,55.233,58.8932,57.6214,1.271799999999999,2.2072,73767.89,443357.704,40.2005,1.71,53.7689,48491.554,53.1923,47494.251,52.9903,50720.7223,50.7189,58013.0562,46.7964,52285.318,,,,
20160621,603822.SH,59.1068,61.699,57.0874,58.4175,58.8932,-0.47570000000000334,-0.8077,60079.16,366025.094,32.7407,1.24,55.7476,55268.962,53.7583,48095.427,53.5728,50755.8069,51.466,57945.9086,47.8615,54285.49,,,,
20160622,603822.SH,57.5243,59.8058,57.0,59.3592,58.4175,0.9417000000000044,1.612,42614.53,257563.46,23.2232,0.77,57.334,55807.364,54.3864,48804.131,54.1583,49209.8331,52.159,56549.5081,48.8696,55690.798,,,,
20160623,603822.SH,60.9029,63.0097,60.0,60.3981,59.3592,1.0388999999999982,1.7502,49163.67,311468.806,26.7922,0.88,58.9379,58889.788,54.8253,48352.817,54.6229,48215.3746,52.7476,54438.8533,49.8152,57302.7537,,,,
20160624,603822.SH,58.2524,61.3301,55.9515,59.4466,60.3981,-0.9515000000000029,-1.5754,51563.7,311233.92,28.1001,0.88,59.3029,55437.79,55.4418,49281.993,55.1374,48022.7823,53.3911,53974.9814,50.6223,59005.698,,,,
20160627,603822.SH,59.4078,65.1456,59.2718,64.0194,59.4466,4.572800000000008,7.6923,53358.63,344961.65,29.0783,0.96,60.3282,51355.938,57.0485,49923.746,55.9791,49394.4085,54.1544,52530.8167,51.4644,60461.136,,,,
20160628,603822.SH,63.3981,65.3398,62.466,64.7379,64.0194,0.7184999999999917,1.1223,49305.98,325214.1,26.8697,0.96,61.5922,49201.302,58.6699,52235.132,56.6505,49058.1908,54.8437,51243.2505,52.2013,60458.137,,,,
20160629,603822.SH,64.9223,69.9029,64.1748,68.8835,64.7379,4.145600000000002,6.4037,49930.14,343309.754,27.2099,1.01,63.4971,50664.424,60.4155,53235.894,57.8506,49647.2831,55.8266,50432.1676,53.0502,58260.2067,,,,
20160630,603822.SH,64.8544,66.7961,62.4078,62.6505,68.8835,-6.232999999999997,-9.0486,54390.47,361485.753,29.6406,1.07,63.9476,51709.784,61.4427,55299.786,58.9813,50220.3115,56.5137,50941.6986,53.5466,57458.7133,,,,
20160701,603822.SH,63.2039,65.8544,63.2039,65.1262,62.6505,2.4756999999999962,3.9516,38852.48,259427.512,21.173,0.75,65.0835,49167.54,62.1932,52302.665,60.2584,51194.1854,57.1937,49952.6233,54.2712,55584.4313,,,,
20160704,603822.SH,64.4757,69.8932,64.301,69.7864,65.1262,4.660200000000003,7.1556,45836.59,322414.238,24.9791,0.93,66.2369,47663.132,63.2825,49509.535,61.6707,51649.1138,58.0527,49149.0233,55.1731,55062.6757,,,,
