trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20110104,600228.SH,10.09,10.34,10.09,10.28,10.09,0.1899999999999995,1.8831,14369.52,14710.679,0.5955,0.72,,,,,,,,,,,,,,
20110105,600228.SH,10.3,10.43,10.1,10.32,10.28,0.040000000000000924,0.3891,20414.57,20932.516,0.846,1.15,,,,,,,,,,,,,,
20110106,600228.SH,10.23,10.38,10.17,10.24,10.32,-0.08000000000000007,-0.7752,12501.38,12785.212,0.518,0.73,,,,,,,,,,,,,,
20110107,600228.SH,10.32,10.32,10.16,10.29,10.24,0.049999999999998934,0.4883,14967.99,15344.36,0.6203,0.87,,,,,,,,,,,,,,
20110110,600228.SH,10.22,10.55,10.21,10.45,10.29,0.16000000000000014,1.5549,25609.41,26622.044,1.0612,1.65,10.316,17572.574,,,,,,,,,,,,
20110111,600228.SH,10.39,10.8,10.33,10.51,10.45,0.0600000000000005,0.5742,25578.02,26915.548,1.0599,1.46,10.362,19814.274,,,,,,,,,,,,
20110112,600228.SH,10.4,10.7,10.4,10.66,10.51,0.15000000000000036,1.4272,20976.83,22222.767,0.8693,1.06,10.43,19926.726,,,,,,,,,,,,
20110113,600228.SH,10.68,10.75,10.4,10.4,10.66,-0.2599999999999998,-2.439,12091.36,12724.43,0.5011,0.61,10.462,19844.722,,,,,,,,,,,,
20110114,600228.SH,10.37,10.37,9.9,10.02,10.4,-0.3800000000000008,-3.6538,25464.81,25628.341,1.0552,1.28,10.408,21944.086,,,,,,,,,,,,
20110117,600228.SH,9.98,9.98,9.6,9.66,10.02,-0.35999999999999943,-3.5928,19829.5,19429.855,0.8217,0.9,10.25,20788.104,10.283,19180.339,,,,,,,,,,
20110118,600228.SH,9.56,9.71,9.55,9.58,9.66,-0.08000000000000007,-0.8282,7645.76,7345.289,0.3168,0.37,10.064,17201.652,10.213,18507.963,,,,,,,,,,
20110119,600228.SH,9.6,9.84,9.6,9.78,9.58,0.1999999999999993,2.0877,10496.53,10257.729,0.435,0.61,9.888,15105.592,10.159,17516.159,,,,,,,,,,
20110120,600228.SH,9.8,10.05,9.48,9.5,9.78,-0.27999999999999936,-2.863,16234.07,15801.499,0.6727,1.07,9.708,15934.134,10.085,17889.428,10.13,17398.4423,,,,,,,,
20110121,600228.SH,9.53,9.69,9.45,9.66,9.5,0.16000000000000014,1.6842,6336.17,6075.7,0.2626,0.4,9.636,12108.406,10.022,17026.246,10.0823,16780.4923,,,,,,,,
20110124,600228.SH,9.64,9.66,9.36,9.37,9.66,-0.2900000000000009,-3.0021,12914.05,12283.644,0.5351,1.07,9.578,10725.316,9.914,15756.71,10.0092,16203.5292,,,,,,,,
20110125,600228.SH,9.32,9.41,9.02,9.37,9.37,0.0,0.0,12981.67,11975.329,0.5379,1.21,9.536,11792.498,9.8,14497.075,9.9423,16240.4746,,,,,,,,
20110127,600228.SH,9.33,9.72,9.33,9.64,9.37,0.27000000000000135,2.8815,11955.98,11488.935,0.4954,1.01,9.508,12084.388,9.698,13594.99,9.8923,16008.7815,,,,,,,,
20110128,600228.SH,9.56,9.93,9.56,9.91,9.64,0.2699999999999996,2.8008,11908.86,11688.903,0.4935,0.99,9.59,11219.346,9.649,13576.74,9.8508,14954.8931,,,,,,,,
