trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20201026,003017.SZ,34.62,41.54,34.62,41.54,28.85,12.689999999999998,43.9861,849.89,3527.681,0.5666,,,,,,,,,,,,,,,
20201027,003017.SZ,45.69,45.69,45.69,45.69,41.54,4.149999999999999,9.9904,1595.0,7287.555,1.0633,,,,,,,,,,,,,,,
20201028,003017.SZ,50.26,50.26,48.0,50.26,45.69,4.57,10.0022,58327.23,288429.664,38.8848,,,,,,,,,,,,,,,
20201029,003017.SZ,50.0,52.8,46.11,46.27,50.26,-3.989999999999995,-7.9387,68437.79,336353.311,45.6252,,,,,,,,,,,,,,,
20201030,003017.SZ,45.18,45.89,43.64,43.89,46.27,-2.3800000000000026,-5.1437,40459.34,180160.906,26.9729,,45.53,33933.85,,,,,,,,,,,,
20201102,003017.SZ,45.08,48.28,44.7,48.28,43.89,4.390000000000001,10.0023,40103.55,188199.497,26.7357,1.18,46.878,41784.582,,,,,,,,,,,,
20201103,003017.SZ,49.03,53.11,49.0,53.11,48.28,4.829999999999998,10.0041,42283.86,215071.267,28.1892,1.01,48.362,49922.354,,,,,,,,,,,,
20201104,003017.SZ,57.0,58.42,53.55,54.99,53.11,1.8800000000000026,3.5398,70621.13,398762.329,47.0808,1.41,49.308,52381.134,,,,,,,,,,,,
20201105,003017.SZ,56.2,56.66,53.5,55.03,54.99,0.03999999999999915,0.0727,48802.91,268743.833,32.5353,0.93,51.06,48454.158,,,,,,,,,,,,
20201106,003017.SZ,55.5,60.0,54.51,57.59,55.03,2.5600000000000023,4.652,52215.55,295071.976,34.8104,1.08,53.8,50805.4,49.665,42369.625,,,,,,,,,,
20201109,003017.SZ,55.8,57.13,54.1,56.38,57.59,-1.2100000000000009,-2.1011,41509.01,230799.931,27.6727,0.82,55.42,51086.492,51.149,46435.537,,,,,,,,,,
20201110,003017.SZ,56.1,57.84,54.84,55.77,56.38,-0.6099999999999994,-1.0819,33022.23,185650.361,22.0148,0.65,55.952,49234.166,52.157,49578.26,,,,,,,,,,
20201111,003017.SZ,54.8,55.31,52.7,53.17,55.77,-2.6000000000000014,-4.662,28841.62,155072.182,19.2277,0.59,55.588,40878.264,52.448,46629.699,50.9208,40543.7777,,,,,,,,
20201112,003017.SZ,53.3,53.37,51.0,51.66,53.17,-1.5100000000000051,-2.8399,20324.44,105711.074,13.5496,0.5,54.914,35182.57,52.987,41818.364,51.6992,42041.82,,,,,,,,
20201113,003017.SZ,51.58,53.45,51.44,53.12,51.66,1.4600000000000009,2.8262,19600.8,103447.044,13.0672,0.56,54.02,28659.62,53.91,39732.51,52.2708,43426.8815,,,,,,,,
20201116,003017.SZ,53.1,53.93,52.16,53.0,53.12,-0.11999999999999744,-0.2259,16227.25,86008.002,10.8182,0.57,53.344,23603.268,54.382,37344.88,52.4815,40188.4215,,,,,,,,
20201117,003017.SZ,52.79,54.51,52.79,53.41,53.0,0.4099999999999966,0.7736,17317.49,92863.421,11.545,0.73,52.872,20462.32,54.412,34848.243,53.0308,36256.0908,,,,,,,,
20201118,003017.SZ,53.11,55.48,52.33,55.24,53.41,1.8300000000000054,3.4263,24406.82,132668.705,16.2712,1.19,53.286,19575.36,54.437,30226.812,53.9038,35021.2815,,,,,,,,
20201119,003017.SZ,54.9,56.9,54.6,54.86,55.24,-0.38000000000000256,-0.6879,18514.28,102358.896,12.3429,0.95,53.926,19213.328,54.42,27197.949,54.41,33360.5685,,,,,,,,
20201120,003017.SZ,55.01,56.3,54.63,55.15,54.86,0.28999999999999915,0.5286,18761.2,103930.783,12.5075,0.98,54.332,19045.408,54.176,23852.514,54.5669,31551.1331,,,,,,,,
20201123,003017.SZ,55.01,55.49,53.57,54.8,55.15,-0.3500000000000014,-0.6346,17290.36,94252.999,11.5269,0.91,54.692,19258.03,54.018,21430.649,54.5523,27448.7662,52.0576,32357.7024,,,,,,
20201124,003017.SZ,54.59,55.31,54.51,54.89,54.8,0.09000000000000341,0.1642,12786.32,70157.987,8.5242,0.66,54.988,18351.796,53.93,19407.058,54.5415,24678.2592,52.6933,32926.1038,,,,,,
20201125,003017.SZ,54.94,55.1,53.01,53.56,54.89,-1.3299999999999983,-2.423,15784.0,85632.772,10.5227,0.86,54.652,16627.232,53.969,18101.296,54.2315,21875.8323,53.0681,33601.7705,,,,,,
20201126,003017.SZ,53.89,54.79,53.5,53.79,53.56,0.22999999999999687,0.4294,11156.32,60222.685,7.4375,0.67,54.438,15155.64,54.182,17184.484,54.0323,19541.01,53.2362,31355.5367,,,,,,
20201127,003017.SZ,53.4,53.4,50.8,51.25,53.79,-2.539999999999999,-4.7221,17710.14,91885.964,11.8068,1.17,53.658,14945.428,53.995,16995.418,53.6846,18363.1569,53.4733,28939.9343,,,,,,
20201130,003017.SZ,51.41,53.11,51.35,52.3,51.25,1.0499999999999972,2.0488,12198.78,63762.799,8.1325,0.82,53.158,13927.112,53.925,16592.571,53.6177,17082.9385,53.8738,27594.1933,,,,,,
